English1,M1,Physics,CP,EVS,Mechanics,English2,M2,PEM,Engg.Drawing,MEFA,CPP,DS,MFCS,DLD,Prob_Stat,Java,ADS,CO,FLAT,CD,Data_communication,PPL,DBMS,OS,Placed_Status
57,49,53,40,51,45,59,67,72,54,51,51,43,36,50,64,48,54,55,40,49,59,57,49,54,0
76,75,68,64,67,81,64,71,49,70,58,76,58,79,73,78,62,61,76,73,82,60,79,69,63,1
85,22,61,66,60,45,76,27,65,62,46,73,55,60,47,75,62,69,76,55,50,65,40,68,44,0
70,27,43,30,61,45,63,56,66,47,38,53,52,58,41,51,37,51,67,28,64,57,53,46,68,0
68,46,67,53,92,69,70,78,78,61,66,74,64,66,75,56,77,76,71,78,63,88,77,84,27,0
63,30,22,45,46,43,51,26,38,32,25,23,19,15,23,37,31,39,33,18,24,32,54,47,66,0
65,49,43,65,61,26,70,65,66,50,53,53,59,60,46,61,52,70,57,59,34,56,38,69,52,0
63,27,51,55,77,54,73,61,86,66,82,62,61,64,27,80,51,58,69,33,86,69,60,65,69,0
79,70,82,71,96,91,71,79,76,74,61,91,73,84,75,83,82,69,71,64,56,88,78,81,53,1
75,57,58,55,62,54,58,68,35,71,33,56,29,56,53,54,50,55,58,58,60,46,58,56,44,0
67,48,27,45,61,31,59,49,58,49,49,45,20,62,31,32,34,63,46,53,35,37,33,41,37,0
55,19,49,57,61,28,56,44,66,56,30,42,29,33,17,30,31,36,57,32,57,32,52,40,74,0
71,52,74,64,68,68,65,84,56,65,62,63,60,64,64,86,79,73,76,74,64,83,79,90,66,0
73,76,84,79,64,61,74,97,65,72,61,81,68,83,68,82,67,65,89,97,73,75,68,69,74,1
76,76,84,84,94,79,79,67,81,54,70,74,69,79,69,89,61,78,73,72,59,72,60,81,83,0
76,71,73,52,95,78,71,84,77,58,58,76,61,63,79,75,50,60,79,70,83,62,76,81,66,1
64,62,58,57,60,57,56,73,53,68,58,88,58,88,68,69,79,74,76,92,67,84,83,91,33,0
68,42,44,51,62,29,65,57,67,67,51,49,53,65,32,49,53,57,52,73,68,54,57,55,64,0
